,id,settled_value,absError
0,1162,1.0,0.06988656999999998
1,297,0.0,0.44216797
2,699,1.0,0.010000000000000009
3,748,1.0,0.13
4,965,0.0,NA
5,960,0.0,NA
6,955,0.0,NA
7,718,0.0,0.014232228
8,1073,0.0,0.01
9,971,1.0,0.22351104
10,875,1.0,0.012404259999999945
11,876,0.0,0.99
12,1111,0.0,0.01
13,1118,1.0,0.19999999999999996
14,488,1.0,0.3599998
15,1126,0.0,0.008143494
16,1097,1.0,0.99
17,206,1.0,0.020000000000000018
18,352,1.0,0.33000004000000005
19,584,0.0,0.4
20,294,0.0,0.4308052
21,300,0.0,0.3553192
22,1340,0.0,0.04999999
23,360,0.0,0.05
24,705,0.0,0.014232225
25,426,1.0,0.98
26,610,0.0,0.7885184
27,763,0.0,0.57786286
28,1086,0.0,0.2
29,1060,0.0,0.29500002
30,1357,0.0,0.04000003
31,1345,0.0,0.049999993
32,1075,0.0,0.000100000005
33,1171,0.0,0.020000001
34,552,0.0,0.04
35,144,0.0,0.020000001
36,1030,0.0,0.51
37,1115,0.0,0.9
38,1157,0.0,0.032903485
39,1297,0.0,NA
40,1327,0.0,0.10000002
41,1351,1.0,0.81
42,1029,0.0,0.01
43,733,0.0,0.01
44,529,0.0,0.94000006
45,1139,0.0,0.01
46,495,0.0,0.44285703
47,1337,0.0,0.17999998
48,1339,0.0,0.010000002
49,1156,0.0,0.041048303
50,880,0.0,0.010000002
51,477,1.0,0.44857174
52,877,1.0,0.050000000000000044
53,1167,0.0,0.020000001
54,343,1.0,0.020000099999999965
55,1031,0.0,0.010000001
56,980,0.0,NA
57,867,1.0,0.010000000000000009
58,494,1.0,0.4542862
59,1352,1.0,0.8
60,155,1.0,0.306901
61,1055,0.0,0.01
62,1095,0.0,0.049999997
63,1104,1.0,0.20326270000000002
64,1109,0.0,0.019999998
65,1136,0.0,0.008193319
66,448,0.0,0.85
67,256,1.0,0.014856699999999945
68,1040,0.0,0.009999999
69,1064,0.0,0.001
70,1141,0.0,0.32999998
71,1023,0.0,0.019999994
72,1355,0.0,0.099999994
73,1124,1.0,0.06999993000000004
74,1103,0.0,0.25
75,1356,0.0,0.029999996
76,1036,0.0,0.010000001
77,1094,0.0,0.010000002
78,642,1.0,0.5887443
