new_value,user_id,question_id,w,userweights,settled_value
0.97076416,10160,465,0.630685003,0.976451175,1
0.90999997,8,649,0.528320185,0.90000004,1
0.9927141,10160,357,0.439467316,0.9927141,1
0.014663798,10160,428,0.362475072,0.97076416,0
0.0001,10160,376,0.31380469,0.9999,0
0.45,14,76,0.009999988,0.970468007,0
0.35000002,426,103,0.01561449,0.64999998,0
0.6,4,9,0.011450261,0.647087616,1
0.22,10540,452,0.794536491,0.485143976,1
0.27,2113,417,0.034954004,0.719983325,0
0.42,37,76,0.010114333,0.58,0
0.66,36,52,0.020307311,0.808571411,1
0.5903924,36,78,0.009999566,0.733125011,1
0.48596877,39,52,0.020307311,0.48596877,1
0.72,36,51,0.020307311,0.808571411,0
0.42000002,85,103,0.01561449,0.720999999,0
0.48,85,103,0.01561449,0.720999999,0
0.69999987,47,78,0.009999566,0.797499935,1
0.58000004,47,52,0.020307311,0.58000004,1
0.53718174,45,52,0.020307311,0.815792934,1
0.033284195,1000,157,0.265770626,0.648210527,0
0.20000005,85,341,0.087432718,0.98000006,0
0.18076429,420,128,0.012558782,0.81923571,0
0.84753686,48,77,0.009999523,0.783250775,1
0.71,8935,529,0.041240146,0.18999994,0
0.28000003,85,341,0.087432718,0.98000006,0
0.61999995,48,76,0.010114333,0.41500005,0
0.6763327,48,52,0.020307311,0.6763327,1
0.52,49,52,0.020307311,0.444999975,1
0.4,47,17,0.01747402,0.6,0
0.9,45,13,0.011979018,0.660541474,1
0.96000004,51,13,0.011979018,0.96000004,1
0.64,1013,61,0.285862817,0.36,0
0.5,60,5,0.010865049,0.5,0
0.6,60,84,0.009999988,0.57182109,0
0.5903924,48,78,0.009999566,0.654678525,1
0.6515753,1205,155,0.193008873,0.6515753,1
0.6534499,856,331,0.013562436,0.589365668,1
0.2903226,372,598,0.397949699,0.688172022,0
0.11764707,2299,677,0.081094307,0.618789245,0
0.4,1239,407,0.017983512,0.468851282,1
0.4254274,64,84,0.009999988,0.5745726,0
